ISO,Country,BOS_KICKOFF_REVIEW_TRACKERID,AGENCY_NAME,participating,BOSID,UNIQUEID
AFG,Afghanistan,229,FAO,true,537054255563931665,537054255563934417
AFG,Afghanistan,229,IFAD,true,537054255563931665,537054255563934418
AFG,Afghanistan,229,ILO,true,537054255563931665,537054255563934419
AFG,Afghanistan,229,IMF,true,537054255563931665,537054255563934420
AFG,Afghanistan,229,IOM,true,537054255563931665,537054255563934421
AFG,Afghanistan,229,ITC,true,537054255563931665,537054255563934422
AFG,Afghanistan,229,UN,true,537054255563931665,537054255563934424
AFG,Afghanistan,229,UN WOMEN,true,537054255563931665,537054255563934439
AFG,Afghanistan,229,UNAIDS,true,537054255563931665,537054255563934425
AFG,Afghanistan,229,UNDP,true,537054255563931665,537054255563934427
AFG,Afghanistan,229,UNESCO,true,537054255563931665,537054255563934429
AFG,Afghanistan,229,UNFPA,true,537054255563931665,537054255563934430
AFG,Afghanistan,229,UNHCR,true,537054255563931665,537054255563934432
AFG,Afghanistan,229,UNICEF,true,537054255563931665,537054255563934433
AFG,Afghanistan,229,UNIDO,true,537054255563931665,537054255563934434
AFG,Afghanistan,229,UNOPS,true,537054255563931665,537054255563934437
AFG,Afghanistan,229,UNS - OCHA,true,537054255563931665,537054255563934435
AFG,Afghanistan,229,UNS - OHCHR,true,537054255563931665,537054255563934423
AFG,Afghanistan,229,UNS – RCOs,true,537054255563931665,537054255563935544
AFG,Afghanistan,229,UNS - UN Habitat,true,537054255563931665,537054255563934431
AFG,Afghanistan,229,UNS – UNAMA,true,537054255563931665,537054255563938598
AFG,Afghanistan,229,UNS - UNCTAD,true,537054255563931665,537054255563934426
AFG,Afghanistan,229,UNS - UNEP,true,537054255563931665,537054255563934428
AFG,Afghanistan,229,UNS - UNODC,true,537054255563931665,537054255563934436
AFG,Afghanistan,229,UNV,true,537054255563931665,537054255563934438
AFG,Afghanistan,229,WFP,true,537054255563931665,537054255563934440
AFG,Afghanistan,229,WHO,true,537054255563931665,537054255563934441
AFG,Afghanistan,229,World Bank,true,537054255563931665,537054255563934442
