iso;COUNTRY;KICKOFF_TRACKERID;startDate;endDate;description
AFG;Afghanistan;229;2024-01-01;2024-03-31;"Business Operations Strategy (BOS) Afghanistan:

Since the adoption of the UN Secretary General’s reform agenda, the United Nations Country Team in Afghanistan has sought to continually build on the comparative advantage of all UN Agencies, Funds and Programmes to tackle the development and humanitarian challenges in country. Until 15 August 2021, the One UN Framework for Afghanistan steered the UN Country Team on enhancing the UN’s contribution to the Sustainable Development Goals, under the guidance of an empowered and impartial Resident Coordinator. The August 2021 power shift in Afghanistan has created the need for a transitional strategy for the UN to address the deepening political and social-economic instability. Afghanistan is still confronting an unprecedented humanitarian crisis with a very real risk of systemic collapse and human catastrophe that threatens to cancel many of the development gains of the last twenty years. To this end, the UN and its partners had developed the one-year Transitional Engagement Framework (TEF) as overarching strategic planning document for the UN system’s assistance for 2022 which has been extended to June 2023. It provides strategic direction and coherence; ensures UN coordination, collaboration, and complementarity of action; and provides a basis for joint risk-sharing and accountability. Looking ahead, the UN in Afghanistan with its partners is currently developing a medium-term strategy for 2023-2025, building on the TEF to continue advancing recovery and resilience in Afghanistan. The new framework developed jointly with development partners will provide strategic direction and coherence; ensure coordination, collaboration, and complementarity between humanitarian, development, and peace approaches of the international community; and provide a basis for joint risk-sharing and accountability for interventions on basic human needs and rights. This framework, the review of the Common Country Analysis (CCA) as well as the Business Operations Strategy (BOS) are opportunities to guide and focus the work of the UN Country Team to promote more effective and efficient programme delivery on the 2030 Agenda. Additionally, BOS is an integral part of the UN reform scorecard and essential for effective resource mobilization from 2023 and onwards.

Recognizing the importance of the harmonized approach, the United Nations in Afghanistan initiated their collective work and inter-agency collaboration on formulation of a results-based framework “Business Operations Strategy (BOS)” in September 2020.  The objective of this effort to have UN joint business operations with the purpose of eliminating duplication, leveraging the common bargaining power of the UN and maximizing economies of scale as well as reducing transaction cost.  It is facilitated by the principles of mutual recognition, client satisfaction and costing and pricing.

After continued efforts and collaboration of OMT with the support and guidance from Resident Coordinator (RC) and UN Country Team, the Business Operations Strategy (BOS) was finalized on 15 December 2020. As per newly established guideline, the realized efficiencies for the prior years were adjusted by each of the agencies accordingly.

The cost avoidance for the year 2022 is USD 269,696 and the combined realized efficiencies for years 2020, 2021 and 2022 is now USD 14 million as the UNCT continue to implement the One UN Framework approach from 2021-2025 (now TEF and starting mid-2023 a different strategic framework).

The BOS 2.0 focuses primarily on quality and efficiency gains. It will reduce internal transaction costs and provide significant cost avoidance on externally sourced goods and services. 

After the BOS annual review and under the current Afghanistan country context, the projected cost avoidance and efficiency gains for the year 2020 – 2027 is USD 31.8 million as illustrated in the summary table below and as presented in more detail breakdown by agency – Annex 1 below:

 

During the review process, additional services have been identified which will contribute to efficiency gains and will be incorporated in the next annual review to bring further quality improvements.  These activities will target environmental sustainability, disability and inclusion, gender responsive budgeting and youth engagements.

Proposed BOS implementation activities will be funded through the OMT budget. Funds will be officially requested to the UN organisations, Agencies, Funds, and Programmes comprising the UNCT in Afghanistan. The BOS review is an annual process for the OMT/UNCT to have a better sense of the realized achievements in support of the SG’s Efficiency agenda."
AGO;Angola;305;2024-01-01;2024-03-31;"BOS 2.0 in Angola was framed around the Secretary General’s strategy to enable the United Nations Development System to be more effective for better supporting the implementation of the new UNSDCF 2020-2022 and the achievement of the 2030 Agenda.

The United Nations Country Team (UNCT) in Angola developed the Business Operations Strategy (BOS) 2.0 to coordinate and align its activities for more efficient and effective service delivery, including COVID-19 response, thereby mitigating duplications of processes, restrain transaction costs and enhance operational efficiency. As part of the UNSDCF, BOS 2.0 is aimed at ensuring the United Nation System’s collective advantage in addressing the humanitarian-development-peace nexus and aligning itself to the Sustainable Development Objectives.

The Business Operations Strategy (BOS) is a results-based framework that focuses on joint business operations with the purpose of eliminating duplication, leveraging the common bargaining power of the UN and maximizing economies of scale.

The BOS 2.0 was developed through the BOS online platform starting on February 2020 after one of the OMT members attended the BOS training of trainers in Addis Ababa, organized by UN DCO. Unfortunately, with the Covid-19 expansion, the UN offices in Angola were obliged to opt for teleworking as of 19 March 2020. Considering that not all the OMT members and BOS working groups members had uninterrupted internet access, the BOS development was hampered and suspended till the arrival of the new RC.

The BOS is focused on common services that are implemented jointly or delivered by one UN entity on behalf of one or more other UN entities. In Angola, the common services for future collaboration were identified in the areas of Administration, Finance, Human Resources, Information and Communications Technology (ICT), Logistics and Procurement.

The following UN Organizations participated in the BOS 2.0 in Angola: FAO, IOM, UNAIDS, UNDP, UNESCO, UNFPA, UNHCR, UNICEF, WFP, WHO and UN RCO. Other entities such as the ADB, IMF and the World Bank contributed to the development of the document.

Zahira VIRANI, UN Resident and Humanitarian Coordinator (RC/HC), who signed off the final BOS 2.0, led the overall process and she is accountable to the Secretary-General for the development, implementation, monitoring and reporting of the BOS 2.0 and further steps towards establishing a Local Shared Service Center in Angola.

The UNCT provided the oversight of the BOS 2.0 process, approval and release of necessary staff members and joint resources. 

The BOS 2.0 was prepared in a highly consultative process with the input of the above mentioned various UN Organizations in Angola, with the ultimate goal of supporting effective programme delivery, monitoring and evaluation and reporting on common operations.

The BOS 2.0, therefore, underlines key priority areas arising from these discussions strengthened by a detailed operational analysis and provides the short and medium-term strategic results that will guide the monitoring and evaluation of operations in above mentioned five (5) common services during the implementation of Angola’s UNSDCF 2020 – 2025.

The Inter-agency activities to be implemented in aforementioned areas will help to improve cost avoidance, quality, and efficiency of the UNCT’s support to programme delivery.

The BOS 2.0 in Angola is contributing to the following SDGs: eliminate Poverty (efficient joint process of common procurement, allowing the Agencies in Angola to take advantage of fast procurement of required goods or services, following the proper needs assessment, considerably contribute to the delivery of programme results on the poverty eradication); Good Health and Well-Being (social support rendered by the UN System in Angola through all the present Agencies facilitates the good health and well-being in the country with the help of the refined duty of care programmes with their long-term focus on families and their dependents); Gender Equality (the joint recruitment processes followed by the UN Agencies always have a gender quality indicator, and compliance is regularly monitored. Agency HR reports are published, with the accurate disaggregated data); Decent Work and Economic Growth (UN Agencies in Angola have high standards of work ethics and focus on quality; at the same time, staff welfare is one of the main goals throughout the Agencies, in order to ensure healthy work climate, flexible working arrangements and speak-up culture. A similar culture is cultivated within the UN partners environment).

UN Angola BOS is focusing on the following High-Impact Services: Benefits Management, Integrated Web-based Roster for Consultants, Mapping of Talents for Persons with Disability, Banking Services and Bank Charges, HACT services, Internet Connectivity and VSAT Services, Mobile Phone Services Including Scratch Cards, Printing Services, Management of Common Premises, Security Services.

UNICEF in Angola performed the first BOS review in Q2 2022. Overall, the review has demonstrated that the implementation period was too short for significant results. The process has also revealed the capacity gaps and the need to better mobilize joint resources towards reviewing open LTAs for the agreed services, securing additional support for administering the Common Premises and ICT Helpdesk, harmonizing HR and administration services.

In the course of the review, it was agreed to prioritize the implementation of a range of services, therefore the following services were shifted to 2022: HR - mapping of talents, ICT - helpdesk and Administration – disposal of assets. This has not brought a major change in overall BOS strategy as the volume of services has not changed – but the sequence of implementation was revised in order to better and faster ensure their delivery and quality assurance. 

Following the review, the projected cost avoidance has amounted to USD1,402,779 with the already realized benefit of USD 635,285.

The 2022 review has resulted in minor amendments of services that were no longer agreed to be included in BOS, due to capacity limitations and change of priorities, but pursued by the Agencies individually, if needed.

The UNSDCF of Angola has been extended until 2023 keeping the BOS concurrent with the present Programme Cycle. 

 "
ALB;Albania;303;2024-01-01;2024-03-31;"Despite the challenges posed by the triple shock of the earthquake of November 2019, the Covid-19 pandemic since 2020, and the start of the war in Ukraine in 2022, Albania has continued to show its commitment to European Union (EU)-oriented reforms and delivered tangible and sustainable results. The first Inter-governmental Conference in July 2022 marked the opening of accession negotiations with the EU. Albania is the only country in the region that has signed cooperation agreements with all justice and home affairs agencies of the EU. The third National Strategy for Development and European Integration (NSDEI) 2022–2030 has been prepared in consultations with all stakeholders, including the UN, and has the potential to strengthen the interface between the socio-economic and environmental targets and the overall governance reforms. Also, it will play an important role in implementation of the Government of Albania and United Nations Sustainable Development Cooperation Framework (UNSDCF) 2022–2026. The government is well positioned to address the many challenges facing Albania and has included agriculture, energy, digitalization, tourism and fighting corruption among its priorities, with European integration as the guiding goal.

In terms of sustainable development, Albania’s real economic growth rebounded better than foreseen following the pandemic, and is projected to be around 3.2 percent for 2022. The country experienced a smooth vaccination rollout, with no further lockdowns and continued recovery in services, led by tourism, and construction. Good progress was made to refocus health services at the primary level, introduce digital health services and improve transparency and accountability. The 2022 Sustainable Development Report index score of 71.63 suggests that the country is more than two-thirds of the way towards achieving the SDGs, with a position of 61 out of 163 countries. The second Gender Equality Index was conducted in 2022 to measure gender inequalities across reproductive health, empowerment, and participation in the labour market. It shows that gender disparities have increased in the past year, with an increased value of 0.09 compared to 0.06 measured in 2021 (Men and Women in Albania, INSTAT 2022)

The Sustainable Development Cooperation Framework between the Government of Albania (GoA) and the United Nations (UN) system for the years 2022-2026 is anchored by the below strategic priorities:

Strategic Priority A - Human capital development and social inclusion.

Outcome - By 2026 there is increased and more equitable investment in people, removing barriers and creating opportunities for those at risk of exclusion.

Strategic Priority B - Sustainable, resilient and green economic growth and resource management.

Outcome - By 2026 innovative and integrated policy solutions accelerate sustainable, productive and inclusive economic development, enhancing climate change adaptation and mitigation and transition to a green and blue economy.

Strategic Priority C - Effective, people-centred governance, rule of law, human rights and gender equality.

Outcome 1 - By 2026, governance is more transparent and accountable, enabling people to enjoy quality, inclusive services, enhanced rule of law and access to justice in line with Albania’s human rights commitments.

Outcome 2 - By 2026, gender responsive governance strengthens equality and non-discrimination, promotes women’s empowerment and human rights, and reduces violence against women and children.

As a DaO country, Albania has been working to identify ways to ensure more coherent, efficient and effective operations at the country level. As early as 2005, Common Services was already implemented in Albania with the introduction of common security and medical services. These were further developed and expanded to other areas within the framework of Delivering as One.

The Business Operations Strategy has been a lively forum and platform for ongoing and productive cooperation amongst Operations Management Team (OMT) members and working groups, the UN RC Office and UNCT throughout 2022. The number of BOS participating agencies increased to 8 with the joining of UNOPS in several common services. Key priorities include completion of the 2022 Business Operations Strategy annual review and implementation of the Disability Inclusion initiative. The annual review process reinstated the good quality of common services provided, shown evidently by the good average scoring of key performance indicators by all participating agencies. Following the solid and long-standing experience in establishing the Long-term Agreements (LTAs), OMT worked jointly to finalise a few solicitation processes for several common services and by the end of the year, the UN agencies in Albania had benefited from ten renewed LTAs, bringing the total number to 21 for thirteen common service areas, achieving an estimated cost avoidance of USD 223,000 for a volume of expenditures for LTAs use of USD 3.2 million. UN agencies also benefited from common medical services and common premises services through renewal of two MoUs. Green IT initiatives were identified from the ICT working group focused on environmentally certified companies for ICT equipment disposal and improvement and simplification of electronic equipment disposal process. OMT scaled up its work in promoting disability inclusion in operations, with contribution to UN House physical accessibility assessment, establishment of a database for young talented individuals with disabilities, training of OMT members and the Procurement Working group on disability inclusion procurement and formulation of disability inclusion guidelines for the Procurement of Goods and Services by UN Agencies in Albania.

The annual review process reinstated the good quality of common services provided, shown evidently by the good average scoring of KPIs by all participating agencies.

2022 BOS analysis confirmed the benefits of close collaboration of UN Agencies in the common services, both in terms of the realized cost avoidance totaling approximately 227,00 USD, and quality achievement for the four applicable common service lines (Administration, HR, ICT and Finance)."
ARE;United Arab Emirates;393;2024-01-01;2024-03-31;"The UN Country Team in the UAE is pleased to join efforts in developing and implementing the first Business Operations Strategy for the UAE. This Business Operations Strategy translates UN Country Team priorities in the areas of common operations, to achieve greater cost-effectiveness and improve the quality of services provided to all Agencies present in the UAE. 

The UAE BOS covers the period from 01 January 2021 - 31 December 2023. It will build on existing services, harmonize the approach to service provision by individual Agencies, and reinforce the common use of systems available in all Agencies. 

The Stock Take represents the common services currently provided by WFP as a lead Agency, in the absence of UNDP. These services have been provided by WFP since 2019 on a cost recovery basis. The services will continue as is, unless there are changes in the status of participating Agencies, such as entering into a Host Agreement with the UAE Government.

In the context of the UAE, where Agencies have limited or no programmatic activities, the UAE BOS will concentrate on improving the quality of services in the areas of Administration, Finance, IT, and Procurement. It will also focus on outreach to organizations working with disabled communities and women, and promote environmental sustainability. The joint approach will also leverage and advance the image of One UN in the UAE.

The implementation of services will be carried out by existing staff and using tools already available, thus, we do not foresee need for additional financial resources. 

The BOS will be subject to review in February 2022. 

As per the 2021 review, the realized gains amount to USD 290,445 for 2 services, which are protocol and procurement of ICT and network hardware. Some of the activities, such as outreach to organizations working with disabled communities and women in procurement and recruitment that were planned for 2021 were not completed. However, the OMT with the support of the UNCT will continue working on establishing the relationship with those organisations and promote the collaboration. 

2022 Review:

The United Nations has a significant presence and cooperation in the United Arab Emirates (UAE). Given the nature of the UAE relationship with the UN as both a donor and a programme country, there is no comprehensive framework guiding the UN’s work in a whole-of-system approach, and engagement of agencies is contingent upon working relationships with their respective thematic counterparts.

While some of these working relationships entail programmatic activities focused on strengthening UAE systems and institutions, most of the UN work focuses on operations as a major global logistics hub for delivery of humanitarian assistance. The UAE has been a key contributor to various UN humanitarian efforts, mainly through the International Humanitarian City in Dubai, where WFP, WHO, UNHCR and UNICEF maintain prepositioned stockpiles of humanitarian supplies for rapid dispatch. Another important function carried out agencies in the UAE is related to partnership-building/resource mobilization, both for public and private sectors. Additionally, some entities also operate a broader regional mandate, hosting their sub-regional (GCC) offices from the UAE.

As per 2022 review, the realized cost avoidance is USD 116,412. The cost avoidance is the result of cooperation of the Agencies in the Protocol Services.

The lack of the programmatic activities limits the possibilities for the collaboration, however, UNCT and OMT continue looking for new opportunities. "
ARG;Argentina;306;2024-01-01;2024-03-31;"El Business Operations Strategy (BOS) es un marco basado en resultados que se centra en operaciones conjuntas con el propósito de eliminar la duplicación, mejorando el poder de negociación común de la ONU y la maximización de las economías de escala.
                                                
En consonancia con los objetivos de reforma de la ONU del Secretario General ha diseñado el BOS en apoyo de una ejecución más eficaz de la Agenda 2030. 

El BOS se enfoca en servicios comunes que se implementan de manera conjunta o entregados por una entidad de la ONU en nombre de una o más entidades de la ONU. 

En la revisión del BoS se contempla mantener las colaboraciones en las áreas de servicios de Administración, Adquisiciones, Finanzas y Recursos Humanos. 

Las siguientes agencias, fondos y programas de la ONU están participando del BOS en la República Argentina: CEPAL, CINU, OIT, OIM, OPS/OMS, UNAIDS, UNDP, UNESCO, UNFPA, ACNUR, UNOPS, UNICEF, UNWOMEN, FAO, UNDSS y OCR. 

En Argentina, el grupo de OMT ha determinado que el BOS será realizado por un período de 5 (Cinco) años - 2021 a 2025,  sin desconocer el contexto económico y social  particular de Argentina (Hiperinflación) donde planificar a largo plazo requiere de un seguimiento permanente y de evaluación.

El 13 de marzo de 2022 asume funciones la Coordinadora Residente de ONU Argentina, Sra. Claudia Mojica, y quien para 2023 nuevamente siguiendo sus responsabilidades hará el sign off del BoS 2.0

El UNCT proporciono supervisión general del BOS en el proceso, aprobación y liberación de la agencia necesaria y recursos conjuntos, la aprobación del BOS final y el informe anual. 

El Operations Management Team interagencial (OMT), presidido por Beatriz Satizabal, Head of Support Services de UNOPS para Argentina, Uruguay, Paraguay y Brasil; conjuntamente con Eugenia Quintana como Co-Chair de OMT, Funcionaria Principal de Operaciones de OIT; y sus órganos subsidiarios facilitaron  el desarrollo e implementación del BOS  a nivel de país durante el 2022 y lideraron el proceso de revision del BoS 2.0, que inicio en un retreat de un dia el 9 de Marzo de 2023

Se hizo un light review del BOS, con las siguientes salvedades

1. Se desagrego la ""agencia UN"" en cada una de las agencias que anteriormente se consolidaban UNS RCOs, UNS ECLAC, UNS DGC y UNS DGC.
2. Seguimos reportando en la categoría Travel , el LTA interagencial pero requerimos un mayor análisis, y replantear la categoría para el próximo año ya que consideramos que el ahorro no esta en el LTA si no en otras variables como volumen y Negociación con Proveedores.
3. La revisión del BOS se realizo y operativizo en un retreat de los OMT members y WG que realizamos por primera vez y fue una jornada muy productiva,

La  Presentación y aprobación del BoS se llevo a cabo en el UNCT del 28 de marzo, el UNCT solicito al OMT compartir  los desafíos actuales en la movilidad del BOS con el objetivo de escalarlo a sus sedes y garantizar la alineación de las agencias.
- Falta una definición clara de algunas agencias sobre su grado de involucramiento en este ejercicio
- Estimar los costos-beneficios se dificulta al haber diferencias en los criterios que se utilizan para determinar los costos de las operaciones por parte de las distintas agencias.
- Otro desafío son aquellas agencias con servicios centralizados en otros países, que hacen que la negociación a nivel local se vea perjudicada pero a la vez, resultan en mayores costos para esas agencias
-La implementación de varias de las iniciativas requieren de tiempo y esfuerzo de los funcionarios de las agencias, que no siempre pueden dedicarle el tiempo necesario.
- En un contexto de alta inflación como el actual y con una política cambiaria inestable, es muy difícil medir ahorros o negociar acuerdos, ya que los precios fluctúan diariamente y muchas veces están más determinados por los plazos de pagos de las agencias, o la flexibilidad para indexar contratos, que por el valor de los productos o servicios

En base al ejercicio realizado, se estima un ahorro de costos de USD 320,284 en maangement en Common Premises, de transport services USD 93,528 y Security services USD 159,015, lo que totaliza un ahorro USD 572,827."
ARM;Armenia;307;2024-01-01;2024-03-31;"The current Business Operations Strategy (BOS) for Armenia was signed on 9 April 2021 and is in effect until 31 December 2025. This BOS built upon the first Armenia BOS, which covered the period from 2017 to 2020. Therefore, some service lines in the current BOS have a start date of 2017 for implementation, but for most service lines the cost-benefit analysis reflects actual figures from 2019 onwards. This allows for the analysis of opportunity costs per agency for each long-term service agreement.

The cumulative cost-avoidance for 2019-22 was initially estimated to be about $2.5m, which was revised last year to $1.5m, but the actual cost-avoidance is slightly less, at around $1.25m. The estimated cost-avoidance for 2023 only is calculated at around $0.5m, which will bring the overall cost-avoidance for 5 years (2019-23) to around $2m.

During the last annual review, UNIDO joined the BOS framework, while UNS-RCO joined in mid-2022, bringing the total number of participating UN agencies to eleven. The agencies with limited activities in the country do not use the common framework, and having limited administrative capacity, they rely on UNDP for support.

This being a ""light"" review, no service lines were added or discontinued, but few agencies have chosen to withdraw from collaborating on certain service lines as they did not use those services."
AZE;Azerbaijan;398;2024-01-01;2024-03-31;"This Business Operations Strategy has been developed at as pivotal time for Azerbaijan, which in 2021 has transitioned into a new five-year Sustainable Development Cooperation Framework with the UN (UNSDCF). As such, the BOS supports UN activities in Azerbaijan, ensuring that operations help bring together UN entities in and outside the country and leveraging on the cost benefit that results from common service delivery. It builds on some of the successes of the previous BOS covering the period July 2018- Dec 2020, particularly by continuing services where common delivery has been possible and by identifying areas were scaling up of activities can be performed. The transition to BOS 2.0 was delayed by a few months due to the escalation of hostilities in and around Nagorno Karabakh. However, agencies have been able to come together under the OMT to design a plan that reflects four outcome areas with efficiency gains both in monetary terms and in terms of technical knowledge: Procurement and Administration, Finance, Human Resources, and ICT.

The OMT conducted annual BOS reviewed in March 2022. The document was updated in terms of participating agencies list and members in the different working groups. The updated documents reflect the new members of UNCT who joined to the Team in 2021. RC and head UNICEF names are replaced with the new members, the UNDP RR name was deleted due to his move from the country and OMT Chair name was updated. Stock Take and Opportunity Analyses sections also updated as per actual situation and results of changes observed in the first year of implementation. Start date of several opportunities are moved to the next stages. In some cases (like, UNDP) a lot of services implemented in the Country Office level until 2021 moved to the Global Shared Service Centres (GSSC). There were also updates in the common premises management process and common-services issues. WHO moved out from the main UN House due to its expansion of the operations and increased number of the office staff. The agency was taken out from all premises management initiatives and service provisions. With the request from the HQ/regional office, UNOPS also was opt out from the BOS services. It was explained with the agency’s little presence in the country.

All these matters reviewed by the OMT and relevant changes made in the updated BOS document.

The UNCT total realized cost-avoidance benefit for 2022 is $ 91,216.   "
BDI;Burundi;318;2024-01-01;2024-03-31;"The UN System and the Government of Burundi signed on 3 December 2022, a new United Nations Sustainable Development Cooperation Framework (UNSDCF) for the period 2023-2027, fully aligned with the National Development Plan (NDP), for the period 2018-2027, which aims to engage the country in a crucial stage of its social and economic development.

Through this new Cooperation Framework, the UNS commits to work with the Government to achieve national development priorities and the MDGs.

 A total of 12 United Nations agencies, funds and programs present in the country (FAO, IFAD, UNHCR, IOM, WHO, UN WOMEN, UNAIDS, WFP, UNDP, UNESCO, UNFPA, UNICEF) signed the UNSDCF.

The 13 existing agencies will be joined by 9 new agencies to strengthen the Burundi UNS, ensuring coverage of important sectoral niches to meet specific needs in Burundi, and the exploitation of important synergies with existing capacities. The new agencies which signed the UNSDCF are: OHCDH, UNHABITAT, UNEP, ECA, ILO, UNIDO, UNCDF, UNOPS, UIT.

The BOS implementation is an important step for the United Nations System in Burundi in the implementation of Delivering as One (DaO), which aims at the coherence and harmonization of the United Nations Agencies’ interventions. It will also support the UNDCF’s implementation, focusing on common services that can be implemented or provided jointly and thus allow for cost sharing and cost avoidance.

The objective of the BOS is, to the extent possible, to harmonize the agencies' operational procedures to reduce transaction costs and improve services’ quality, in support to the UNSDCF implementation. This objective is in line with the UN Secretary-General's vision on UN reform, particularly regarding the new generation of UN Country Teams.

Burundi developed its BOS in 2018 and all the 12 UN Resident Agencies were involved. OMT decided to focus on 13 common services that could be subject of long-term agreements for the BOS 2019-2023, spread over 6 pillars.

In 2020, the overall savings projected by the BOS over the first five years were estimated at US$ 2,381,965 representing an annual saving of $476.393. Most of these savings were projected mainly from cost avoidance with administration service.

With the first annual review of BOS in 2021, the total savings for the 12 agencies implementing BOS at the country level were evaluated at USD 775,473.

With the 2022 annual review, the total savings are estimated at USD 803,060."
BEN;Benin;312;2024-01-01;2024-03-31;"La présente stratégie représente la deuxième génération de BOS au Bénin et s’inscrit dans la mise en œuvre de la réforme des Nations Unies et vise à renforcer la mise en œuvre de l’UNDAF 2019 - 2023. Il est à noter que l’année 2022 a été la dernière année de la mise en œuvre de l’UNDAF 2019- 2023 qui a été écourté d’un an suivant la décision conjointe de l’Équipe Pays des Nations Unies au Bénin et le Gouvernement du Bénin. L’objectif de cette décision a été d’élaborer un nouveau Cadre de Coopération des Nations Unies pour le développement durable (UNSDCF-CC) pour la période 2023-2026 qui serait plus étroitement arrimé aux priorités du Gouvernement définies dans le Programme d’Action du Gouvernement 2021 – 2026 et de transitionner sur la nouvelle génération de l’UNCSDF.

L'Équipe Pays des Nations Unies (UNCT) au Bénin a mis en œuvre cette stratégie en 2022 dans le but général d'obtenir un plus grand impact en étant cohérent et efficace dans la fourniture de résultats de développement, tout en harmonisant les pratiques commerciales de toutes les agences pour une efficacité accrue.

La BOS s'est concentrée principalement sur les gains d'efficacité et l'évitement des coûts tout en améliorant simultanément la qualité des services, y compris les économies de coûts sur les biens et services d'origine externe et en éliminant la duplication des efforts, en tirant parti du pouvoir de négociation commun de l'ONU et en maximisant les économies d'échelle.

La stratégie consiste à se concentrer sur les services communs qui sont mis en œuvre conjointement ou fournis par une entité des Nations Unies au nom d'une ou plusieurs autres entités des Nations Unies. Les services communs dans les domaines suivants sont identifiés pour la collaboration : ressources humaines, information, communications et technologies (TIC), finances, approvisionnement, administration et logistique.

L'Équipe Pays des Nations Unies (UNCT) au Bénin consiste de 20 membres, comme suit : 12 Agences, fonds et programmes résidents (FAO, IOM, WFP, UNAIDS, UNCDF, UNDP, UNFPA, UNICEF, UNESCO, UPU, WHO et UNOPS). 8 Agences, fonds et programmes non – résidents (ITC, OHCHR, ILO ; UNEP, UNIDO, UNWOMEN, HCDH, IFAD) (ayant des opérations au Bénin et participant dans le BOS dans le sens ou le financement des activités passe par des Agences résidentes)

La Banque Mondiale et le Fonds Monétaire International utilisent certains services communs.

Au Bénin, BOS vise à soutenir l'exécution efficace des programmes, le suivi et l'évaluation et l'établissement de rapports sur les opérations communes. Conçu pour être un document évolutif, le BOS 2.0 du Bénin continue d’être mis en œuvre et opérationnalisé par le biais de quatre (4) groupes de travail OMT (ressources humaines ; finances ; approvisionnement et logistique; TIC ), sous la direction de l'OMT pour soutenir la planification, le suivi et l'établissement de rapports conjoints. Les activités prévues dans le cadre de la BOS visent à améliorer la rentabilité, la qualité et l'efficacité du soutien de l'Équipe Pays des Nations Unies à l'exécution des programmes et aux opérations commerciales.

L’analyse coût-bénéfice a permis de calculer les avantages et les coûts qui pourraient être évités de la mise en place des différentes lignes de services identifiés à l’étape de l’analyse des besoins et opportunités. Au total, un montant estimé à 2,8 millions USD représente les coûts qui seront évités de la mise en œuvre du BOS au Bénin sur une période de cinq ans, avec la réalisation de 0.71 million USD de coûts effectivement évités en 2022.

Pour faciliter la mise en œuvre et le suivi, un cadre de résultats et de ressources ainsi que les différents indicateurs (KPI) ont été définis. Ces indicateurs permettent de mesurer non seulement les coûts évités mais aussi l’amélioration de la qualité des services communs pour toutes les AFPs."
BFA;Burkina Faso;317;2024-01-01;2024-03-31;"Business Operations Strategy 2.0 (2018-2023)

During the formulation of the new United Nations Framework Plan for Development Assistance (UNDAF 2018-2022) of the United Nations in Burkina-Faso, the OMT Team designed the BOS whose objective is to facilitate the implementation of the UNDSCF by identifying and setting up joint operational activities that are harmonized and at lower costs. This was in line with the adoption earlier in 2015, by Government, of delivery as one reform. It has also facilitated the implementation of the UNDAF between Burkina Faso and the United Nations System 2018-2022 extended for another year till 2023 and indirectly that of the “Plan National de Developpement Economique et Social” (PNDES 2016-2020). The BOS led to the establishment of directives and instruments with the aim of strengthening the links between the Framework Plan for Development (UNSDCF) and operations. This is a mandate exercise that accompanies the implementation of the United Nations assistance program to countries. The BOS is interested in joint operations and provides a strategic approach and results-oriented planning, management and for setting out harmonized programs to support operations across the country.

The methodological approach for the development of the Burkina Faso BOS is characterized by a participatory process including the Operations staff of United Nations in Burkina-Faso and was carried out in close consultation with the various results groups including the program group and the monitoring and evaluation group. The UNCT in Burkina Faso is comprised of 25 resident agencies with 8 non-resident UN agencies with responsibilities over the country. The following UN organizations are participating in the BOS 2.0 in Burkina Faso: FAO, UNDP, UNICEF, IOM, UNFPA, UNHCR, WFP, WHO, UNAIDS, IOM, ILO, UNIDO, UNESCO, UNCDF, UNODC, UN-Habitat, & OHCHR. (UNOPS is in the participating agency list which is a non resident agency and therefore it should be removed from the list).  The monitoring and evaluation of the implementation of the BOS will be based on a two-level mechanism: (i) the strategic level led by the Country Team with the support of the Office of the Resident Coordinator; and (ii) the technical and operational level led by the OMT and the various working groups, with the support of the Office of the Resident Coordinator. In total, the effective implementation of the BOS was expected in the UN System in Burkina Faso to realize a cost avoidance by an estimated excess of approximately 3 million US $ for the period 2018-2020. The BOS 2.0 2018-2022 has been operationalized and implemented through six (06) OMT strategic working groups (common services administration, Common procurement, Common logistics, Common HACT and Finances, common ICT, Common Human resources) under the guidance of OMT to support joint planning.  The annual review as mandated by UNSG, started as of 10th January 2022 and pursued by the 6 Tasks Forces with the technical support of DCO/RCO at HQs and regional levels to assess to what extent the expected objectives were attained in all areas identified in the BOS 2.0 bearing in mind that the UNDAF framework was extended to 2023. The main findings of the BOS 2.0 review in terms of new opportunities to be jointly implemented will allow additional efficiency gains over the next year.

In addition, in order to ensure that High Impact Common Services are privileged, a specific common service aimed at ensuring staff well being was included to accompany staff needs in terms of counseling.

The joint implementation and use of common services in the BOS 2.0 allowed the UNCT Burkina Faso to avoid in the reviewed period of 2021 a cumulative amount of $ 1,086,944 below the previous projected total. While the OMT working groups planning process for the new period of 2022 a projected overall cost avoidance amount of $ 2,446,659 as a result of new common services included in the BOS for 2022."
