iso;Country;KICKOFF_TRACKERID;type;description;comment;likelihood;impact;risktreatment;mitigationMeasure
RWA;Rwanda;152;risk;- UN Agencies not willing to participate and share related information;;Negligible;Minimal;Accept;- Ensure mechanisms exist to incorporate the participation of all UN agencies in Rwanda.
RWA;Rwanda;152;risk;New banking tender in year 3 may results in bank fees & remuneration of current account depend on pricing;;Negligible;Minimal;Accept;To ensure all UN agencies participate in the tender in year3
RWA;Rwanda;152;risk;Savings calculated based on UN rate which is sometime close to the market rate.;;Remote;Minimal;Accept;To ensure all UN agencies participate whilst negotiating these rates with the commercial banks.  The higher the number of UN agencies, the higher the volume of replenishments giving the UN the apprehe
SYR;Syria;217;risk;The effect of the Ukraine crisis may lead to budget shortfalls for most agencies, hence not being able to procure according to plans;;Possible;Significant Concern;Transfer;Joint procurements may reduce overall supply cost for the goods as supplier management and overheads are spread across agencies
PRK;Korea, Democratic People's Republic of;253;risk;Data usage challenges by different UN agencies;;Possible;Slight Concern;Control;Appropriate controls in place to monitor data usage by each UNA at different times of the day.
COM;Comoros;301;risk;Des délais de livraison relativement long, dû à l'enclavement du pays.;;Remote;Minimal;Control;Prévoir des stocks de sécurité
COM;Comoros;301;risk;Fluctuation des prix du fait de la dépendance du pays à des importations provenant des pays européen;;Remote;Minor;Accept;Trouver encore des fournisseurs dans d'autres pays
COM;Comoros;301;risk;Indisponibilité des compétences techniques sur les domaines pointues ou complexes obligeant de faire;;Negligible;Minimal;Control;Faire des appels d'offres ouverts
COM;Comoros;301;risk;Non disponibilité des équipements, biens ou services répondant aux critères du SNU sur l'ensemble du;;Remote;Minimal;Control;Trouver des équipements répondants à la demande
EGY;Egypt;302;risk;Budget cuts;;Possible;Negligible;Accept;BOS works on cost avoidance, Increase or decrease in budgets should not affect the BOS implementation in Egypt
EGY;Egypt;302;risk;Difficulty in obtaining timely invoices to allow tracking and making regular payments for Travel services;;Remote;Minor;Transfer;Ask the services provider for SLA and set invoices to be received 24 hours from service delivery
EGY;Egypt;302;risk;Difficulty to find availability of rooms in hotels in high seasons;;Highly Possible;Slight Concern;Control;Plan A head and issue LTAs .
EGY;Egypt;302;risk;Ensuring confidentiality agreements for different recruitment processes;;Possible;Slight Concern;Control;Rules and regulations
EGY;Egypt;302;risk;Exposure and easy access of sensitive material to printing company employees;;Possible;Slight Concern;Avoid;Print Confidential and sensitive documents inhouse, and use NDA
EGY;Egypt;302;risk;Frequent absenteeism and turnover of cleaners might affect the quality of cleaning;;Possible;Minor;Avoid;agree with service providers for at least annual contracts with cleaners
EGY;Egypt;302;risk;High cost of building maintenance might affect agencies willingness to continue with the service;;Remote;Minor;Avoid;Have alternative service providers
EGY;Egypt;302;risk;In case of subcontracting transportation services, the ability to abide by the UN rules and regulations;;Possible;Slight Concern;Transfer;State in the contract and SLA with the supplier the required standards
EGY;Egypt;302;risk;Inability to fully meet the safety and security requirements, at a reasonable price range, for transportation services;;Possible;Minimal;Accept;We managed to secure multiple service providers with the required insurance at a reasonable prices after opening the tender and inviting the market leads
EGY;Egypt;302;risk;Lack of vendor's capacity to cover increase in volume;;Possible;Significant Concern;Control;Issue multiple LTAs for multiple suppliers for services that are widely used
EGY;Egypt;302;risk;Quality of printing material available in the market could be affected by external factors;;Remote;Slight Concern;Monitor;be updated with the market
EGY;Egypt;302;risk;Training sessions time frame that can negatively impact staff's concentration;;Remote;Minimal;Control;Share survey on the possible dates of the training to minimize disturbance in staff schedule
EGY;Egypt;302;risk;Websites upgrades that might lead for unfriendly user experience;;Negligible;Minimal;Avoid;Frequent testing
DZA;Algeria;304;risk;Capacité à influencer le marché et négocier;;Highly Possible;Slight Concern;Accept;Améliorer la planification des activités et anticiper l'estimation des besoins du SNU
DZA;Algeria;304;risk;Charge de travail et engagement des agences;;Possible;Minor;Accept;assurer l'engagement des agences dans les réformes du SNU
DZA;Algeria;304;risk;Delays in implementing joint premises projects (such as UN Houses);;Possible;Minor;Accept;monitor the case at UNCT level
DZA;Algeria;304;risk;Fluctuation de la monnaies et des prix;;Highly Possible;Significant Concern;Monitor;assurer une mise à jour réguliére des données du CBA
DZA;Algeria;304;risk;Insufficient supplier capacity to handle increased volume of business compliant with UN standards of;;Highly Possible;Slight Concern;Monitor;sensitize UNCT on capacity reinforcement
DZA;Algeria;304;risk;Maitrise des processus et turnover;;Highly Possible;High Concern;Accept;assurer la formation continue du personnel du SNU et le monitoring des processus de travail
DZA;Algeria;304;risk;Market service disruptions due to the impact of covid19;;Possible;Slight Concern;Monitor;proactive action thru LTA and planning with Supply division
DZA;Algeria;304;risk;Staff Turnover or change in Profile for key positions in the OMT because of regional clustering;;Highly Possible;Significant Concern;Control;RC OFFICE ensure backup and follow up
AGO;Angola;305;risk;Absence of common sharepoint would lead to inability to effectively establish a web roster;;Negligible;Slight Concern;Control;Continue the maintenance of the Common Sharepoint administered by UNICEF.
AGO;Angola;305;risk;COVID-19 limitations could hinder the implementation of plans thus affecting the quality of results;;Possible;Significant Concern;Control;Monitor the situation jointly with the Government, agree on mitigating measures at the UNCT level.
AGO;Angola;305;risk;Lack of operations staff capacity may cause agencies to return to their own practices;;Highly Possible;Significant Concern;Control;Capacity building by BOS and Operations champions, training, job shadowing
AGO;Angola;305;risk;Reluctance of some agencies to adopt a common operations approach may hinder the efficiency of Business Operations in Angola;;Possible;Significant Concern;Control;Share the best efficient practices with the inactive Agencies, involve their Headquarters and Regional Management for sharing information.
ARM;Armenia;307;risk;Different operational requirements of the participating agencies, particularly for human resources management;;Definite;High Concern;Transfer;Request advice from agency HQs
ARM;Armenia;307;risk;Insufficient number of comparators based on the comprehensive salary survey methodology.;;Definite;High Concern;Accept;Make a detailed survey of the labour market
BLZ;Belize;311;risk;Agencies unable to meet common commitments;;Possible;Significant Concern;Control;Negotiations with agencies prior to commitment on procurement.
BEN;Benin;312;risk;Défaillance au niveau de l'arrivée de la fibre optique;;Negligible;Slight Concern;Transfer;renforcer le suivi  au niveau de SBIN
BEN;Benin;312;risk;Défaillance de service au niveau de MTN;;Remote;Negligible;Control;Assurer un suivi continu avec MTN et engager les discussion avec d'autre opérateurs
BEN;Benin;312;risk;Financement de la CSNU non disponible;;Negligible;Slight Concern;Control;Renforcer le plaidoyer au niveau de UNCT pour assurer le financement de la CSNU
BEN;Benin;312;risk;La non mise a disposition du ressource par les agences;;Negligible;Minor;Control;plaidoyer auprès de l'UNCT
BEN;Benin;312;risk;La non utilisation des LTA par toutes les agences diminue les gains attendus;;Negligible;Minimal;Transfer;La mise en place de dispositifs et mecanisme permattant aux agence d'utilser les LTA
BEN;Benin;312;risk;Le non souivi de la réglementation du pays en matière en matière d'autorisation de fréquence;;Negligible;Slight Concern;Control;Faire le suivi au niveau de l'ARCEP
BEN;Benin;312;risk;Toutes les agences ayant choisi la même banque, il y a un risque de perte éventuel en cas de défaill;;Negligible;Negligible;Control;Explorer l’opportunité d'utilisation de la deuxième banque qualifiée
BOL;Bolivia;314;risk;Algunos servicios comunes podrían ser transferidos a la administración de las nuevas premises comunes;;Possible;Minor;Control;Participación en determinación de costos y control de los mismos
BOL;Bolivia;314;risk;Falta de respuesta de los comparadores requeridos en las encuestas del SNU debido a la recurrencia de las actividades;;Possible;Slight Concern;Accept;buscar otros comparadores
BOL;Bolivia;314;risk;Las agencias no provean la información necesaria a para el diseño de los modelos de recuperación del IVA;;Possible;Minor;Accept; Monitoreo y acompañamiento para subsanar dificultades que impidan el desarrollo de la actividad
BOL;Bolivia;314;risk;Los servicios contratados no respondan a los requerimientos de manera oportuna y eficiente.;;Possible;Slight Concern;Control;Evaluaciones periódicas de los servicios
BOL;Bolivia;314;risk;Que no existan IP comunes entre las Agencias UN para realizar spots checks y micro evaluaciones conjuntas.;;Possible;Minimal;Accept;Monitoreo permanente para identificar coincidencias
