,ISO,Country,BOS_KICKOFF_REVIEW_TRACKERID,AGENCY_NAME,participating,RISK_DESCRIPTION,LIKEHOOD,IMPACT,RISK_TREATMENT,MITIGATION_MEASURES,OVERALL_RISK
0,AFG,Afghanistan,229,FAO,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
1,AFG,Afghanistan,229,IFAD,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
2,AFG,Afghanistan,229,ILO,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
3,AFG,Afghanistan,229,IMF,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
4,AFG,Afghanistan,229,IOM,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
5,AFG,Afghanistan,229,ITC,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
6,AFG,Afghanistan,229,UN,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
7,AFG,Afghanistan,229,UN WOMEN,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
8,AFG,Afghanistan,229,UNAIDS,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
9,AFG,Afghanistan,229,UNDP,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
10,AFG,Afghanistan,229,UNESCO,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
11,AFG,Afghanistan,229,UNFPA,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
12,AFG,Afghanistan,229,UNHCR,True,Labor and working conditions,Possible,Significant Concern,Control,"Vulnerable workers. Provide appropriate measures of protection and assistance to address the vulnerabilities of project workers, including specific groups of workers, such as women, people with disabi",High
